alliance,canonicalX,canonicalY,fingerprint,index,kind,matchNumber,tSec,teamNumber,x,y
red,0.6627,0.4663,fake-2710-1-red-center-98028,0,path,1,0.0,2710,0.6627,0.4663
red,0.6717,0.5141,fake-2710-1-red-center-98028,1,path,1,1.82,2710,0.6717,0.5141
red,0.6086,0.5059,fake-2710-1-red-center-98028,2,path,1,3.64,2710,0.6086,0.5059
red,0.5869,0.5407,fake-2710-1-red-center-98028,3,path,1,5.45,2710,0.5869,0.5407
red,0.5954,0.5566,fake-2710-1-red-center-98028,4,path,1,7.27,2710,0.5954,0.5566
red,0.5718,0.5893,fake-2710-1-red-center-98028,5,path,1,9.09,2710,0.5718,0.5893
red,0.509,0.6053,fake-2710-1-red-center-98028,6,path,1,10.91,2710,0.509,0.6053
red,0.4816,0.5683,fake-2710-1-red-center-98028,7,path,1,12.73,2710,0.4816,0.5683
red,0.5202,0.5746,fake-2710-1-red-center-98028,8,path,1,14.55,2710,0.5202,0.5746
red,0.4941,0.5355,fake-2710-1-red-center-98028,9,path,1,16.36,2710,0.4941,0.5355
red,0.4352,0.5517,fake-2710-1-red-center-98028,10,path,1,18.18,2710,0.4352,0.5517
red,0.4252,0.5215,fake-2710-1-red-center-98028,11,path,1,20.0,2710,0.4252,0.5215
red,0.6086,0.5059,fake-2710-1-red-center-98028,0,shot,1,3.64,2710,0.6086,0.5059
red,0.4352,0.5517,fake-2710-1-red-center-98028,1,shot,1,18.18,2710,0.4352,0.5517
red,0.7148,0.5129,fake-867-1-red-center-40937,0,path,1,0.0,867,0.7148,0.5129
red,0.6838,0.5358,fake-867-1-red-center-40937,1,path,1,1.82,867,0.6838,0.5358
red,0.6504,0.5537,fake-867-1-red-center-40937,2,path,1,3.64,867,0.6504,0.5537
red,0.596,0.5653,fake-867-1-red-center-40937,3,path,1,5.45,867,0.596,0.5653
red,0.5681,0.5452,fake-867-1-red-center-40937,4,path,1,7.27,867,0.5681,0.5452
red,0.5615,0.5701,fake-867-1-red-center-40937,5,path,1,9.09,867,0.5615,0.5701
red,0.5175,0.5573,fake-867-1-red-center-40937,6,path,1,10.91,867,0.5175,0.5573
red,0.5071,0.5375,fake-867-1-red-center-40937,7,path,1,12.73,867,0.5071,0.5375
red,0.4817,0.5407,fake-867-1-red-center-40937,8,path,1,14.55,867,0.4817,0.5407
